Date/time,Anemômetro;wind_speed;Avg,Anemômetro;wind_speed;Max,Anemômetro;wind_speed;Min,Anemômetro;wind_speed;StdDev,Anemômetro;wind_speed;Count,TH;humidity;Avg,TH;humidity;Max,TH;humidity;Min,TH;humidity;StdDev,TH;humidity;Count,TH;temperature;Avg,TH;temperature;Max,TH;temperature;Min,TH;temperature;StdDev,TH;temperature;Count,Piranômetro 1;solar_irradiance;Avg,Piranômetro 1;solar_irradiance;Max,Piranômetro 1;solar_irradiance;Min,Piranômetro 1;solar_irradiance;StdDev,Piranômetro 1;solar_irradiance;Count,Piranômetro 2;solar_irradiance;Avg,Piranômetro 2;solar_irradiance;Max,Piranômetro 2;solar_irradiance;Min,Piranômetro 2;solar_irradiance;StdDev,Piranômetro 2;solar_irradiance;Count,Piranômetro 3;solar_irradiance;Avg,Piranômetro 3;solar_irradiance;Max,Piranômetro 3;solar_irradiance;Min,Piranômetro 3;solar_irradiance;StdDev,Piranômetro 3;solar_irradiance;Count,Pluviômetro;precipitation;Count,Pluviômetro;precipitation;Sum,Albedo;albedo;Avg,Albedo;albedo;Max,Albedo;albedo;Min,Albedo;albedo;StdDev,Albedo;albedo;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A1;Count,A2;Avg,A2;Max,A2;Min,A2;StdDev,A2;Count,A3;Avg,A3;Max,A3;Min,A3;StdDev,A3;Count,A4;Avg,A4;Max,A4;Min,A4;StdDev,A4;Count,A5;Avg,A5;Max,A5;Min,A5;StdDev,A5;Count,C1;Avg,C1;Max,C1;Min,C1;StdDev,C1;Count,C2;Avg,C2;Max,C2;Min,C2;StdDev,C2;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T;Avg,addr
2025-03-02 00:00:00,0.3317,0.48,0.32,0.0309,600,97.5307,97.75,97.35,0.0894,600,23.42832,23.459,23.399,0.01873,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.387,0.7,0.0,0.120,600,600,0.0,---,---,---,---,0,0.5342832,0.53459,0.53399,0.0001873,600,0.975307,0.9775,0.9735,0.000894,600,-0.00000041,0.000000,-0.000003,0.00000110,600,-0.00000104,0.000000,-0.000003,0.00000156,600,0.00000377,0.000007,0.000000,0.00000117,600,0.15,2,0,0.39,600,0.00,0,0,0.00,600,12.4097,12.51,12.34,48.55,53,46,23.92,116468
2025-03-02 00:10:00,0.3200,0.32,0.32,0.0000,600,97.7649,97.89,97.69,0.0495,600,23.40683,23.422,23.395,0.00638,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.438,0.7,0.0,0.156,600,600,0.0,---,---,---,---,0,0.5340683,0.53422,0.53395,0.0000638,600,0.977649,0.9789,0.9769,0.000495,600,-0.00000001,0.000000,-0.000003,0.00000014,600,-0.00000002,0.000000,-0.000003,0.00000024,600,0.00000427,0.000007,0.000000,0.00000152,600,0.00,0,0,0.00,600,0.00,0,0,0.00,600,12.4060,12.46,12.35,48.59,54,46,23.93,116516
2025-03-02 00:20:00,0.3200,0.32,0.32,0.0000,600,97.9452,98.02,97.82,0.0415,600,23.43729,23.452,23.416,0.00930,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.488,0.7,0.3,0.170,600,600,0.0,---,---,---,---,0,0.5343729,0.53452,0.53416,0.0000930,600,0.979452,0.9802,0.9782,0.000415,600,0.00000000,0.000000,0.000000,0.00000000,600,-0.00000001,0.000000,-0.000003,0.00000014,600,0.00000476,0.000007,0.000003,0.00000165,600,0.00,0,0,0.00,600,0.00,0,0,0.00,600,12.4052,12.45,12.35,48.41,51,46,23.93,116564
2025-03-02 00:30:00,0.3264,0.48,0.32,0.0243,600,97.8958,98.12,97.69,0.1408,600,23.45007,23.469,23.422,0.01140,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.433,0.7,0.3,0.150,600,600,0.0,---,---,---,---,0,0.5345007,0.53469,0.53422,0.0001140,600,0.978958,0.9812,0.9769,0.001408,600,-0.00000008,0.000000,-0.000003,0.00000051,600,-0.00000024,0.000000,-0.000003,0.00000086,600,0.00000422,0.000007,0.000003,0.00000146,600,0.08,2,0,0.31,600,0.00,0,0,0.00,600,12.4043,12.46,12.35,48.11,51,46,23.95,116613
2025-03-02 00:40:00,0.3211,0.40,0.32,0.0090,600,97.7444,97.82,97.65,0.0406,600,23.41745,23.432,23.402,0.00736,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.386,0.7,0.0,0.115,600,600,0.0,---,---,---,---,0,0.5341745,0.53432,0.53402,0.0000736,600,0.977444,0.9782,0.9765,0.000406,600,-0.00000121,0.000000,-0.000007,0.00000167,600,-0.00000188,0.000000,-0.000007,0.00000188,600,0.00000376,0.000007,0.000000,0.00000112,600,0.01,1,0,0.11,600,0.00,0,0,0.00,600,12.3999,12.45,12.34,48.22,53,46,23.96,116661
2025-03-02 00:50:00,0.3216,0.40,0.32,0.0110,600,97.6666,97.75,97.59,0.0369,600,23.38146,23.409,23.358,0.01498,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.385,0.7,0.0,0.113,600,600,0.0,---,---,---,---,0,0.5338146,0.53409,0.53358,0.0001498,600,0.976666,0.9775,0.9759,0.000369,600,-0.00000209,0.000000,-0.000007,0.00000168,600,-0.00000312,0.000000,-0.000007,0.00000163,600,0.00000375,0.000007,0.000000,0.00000110,600,0.02,1,0,0.14,600,0.00,0,0,0.00,600,12.3982,12.45,12.35,48.18,52,46,23.96,116709
2025-03-02 01:00:00,0.3200,0.32,0.32,0.0000,600,97.8251,97.96,97.69,0.0554,600,23.37893,23.392,23.362,0.00625,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.433,0.7,0.0,0.151,600,600,0.0,---,---,---,---,0,0.5337893,0.53392,0.53362,0.0000625,600,0.978251,0.9796,0.9769,0.000554,600,-0.00000068,0.000000,-0.000003,0.00000135,600,-0.00000139,0.000000,-0.000003,0.00000166,600,0.00000421,0.000007,0.000000,0.00000147,600,0.00,0,0,0.00,600,0.00,0,0,0.00,600,12.3978,12.49,12.35,48.16,52,46,23.96,116757
2025-03-02 01:10:00,0.3200,0.32,0.32,0.0000,600,97.9768,98.06,97.92,0.0310,600,23.39573,23.412,23.382,0.00573,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.465,0.7,0.3,0.164,600,600,0.0,---,---,---,---,0,0.5339573,0.53412,0.53382,0.0000573,600,0.979768,0.9806,0.9792,0.000310,600,-0.00000016,0.000000,-0.000003,0.00000071,600,-0.00000066,0.000000,-0.000003,0.00000134,600,0.00000453,0.000007,0.000003,0.00000160,600,0.00,0,0,0.00,600,0.00,0,0,0.00,600,12.3946,12.44,12.34,48.25,53,46,23.94,116805
2025-03-02 01:20:00,0.3213,0.40,0.32,0.0101,600,98.0251,98.12,97.92,0.0475,600,23.41341,23.426,23.395,0.00764,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.452,0.7,0.0,0.161,600,600,0.0,---,---,---,---,0,0.5341341,0.53426,0.53395,0.0000764,600,0.980251,0.9812,0.9792,0.000475,600,-0.00000295,0.000000,-0.000007,0.00000155,600,-0.00000383,0.000000,-0.000007,0.00000160,600,0.00000440,0.000007,0.000000,0.00000156,600,0.02,1,0,0.13,600,0.00,0,0,0.00,600,12.3911,12.44,12.33,48.14,50,46,23.90,116853
2025-03-02 01:30:00,0.3201,0.40,0.32,0.0032,600,98.0428,98.16,97.96,0.0543,600,23.39860,23.409,23.389,0.00340,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.383,0.7,0.0,0.113,600,600,0.0,---,---,---,---,0,0.5339860,0.53409,0.53389,0.0000340,600,0.980428,0.9816,0.9796,0.000543,600,-0.00000331,0.000000,-0.000007,0.00000119,600,-0.00000400,0.000000,-0.000007,0.00000133,600,0.00000373,0.000007,0.000000,0.00000110,600,0.00,1,0,0.04,600,0.00,0,0,0.00,600,12.3863,12.43,12.33,48.25,50,46,23.94,116903
2025-03-02 01:40:00,0.3243,0.48,0.32,0.0196,600,97.8123,97.99,97.69,0.1094,600,23.36592,23.395,23.325,0.02215,600,0.000,0.0,0.0,0.000,600,0.000,0.0,0.0,0.000,600,0.395,0.7,0.0,0.125,600,600,0.0,---,---,---,---,0,0.5336592,0.53395,0.53325,0.0002215,600,0.978123,0.9799,0.9769,0.001094,600,-0.00000158,0.000000,-0.000003,0.00000168,600,-0.00000270,0.000000,-0.000007,0.00000137,600,0.00000385,0.000007,0.000000,0.00000122,600,0.06,2,0,0.25,600,0.00,0,0,0.00,600,12.3874,12.51,12.34,48.11,51,46,23.88,116951
